is_active,Title,Description,Link_url,Data_type,Paid
TRUE,SOLID Software Architecture: Complete Guide with Coding Examples,"Become a better developer: Learn software architecture techniques and develop code that is more robust, flexible, understandable and maintainable.",https://www.udemy.com/solid-software-architecture-complete-guide-with-c-examples/,CO,TRUE
TRUE,Software Development Lifecycle,This video will cover the SDLC with specific focus on the software quality assurance testing phase.,https://www.youtube.com/watch?v=i-QyW8D3ei0,VI,FALSE
TRUE,How to Install Ubuntu 16.10 Alongside With Windows 10 or 8 in Dual-Boot,This tutorial will guide you on how you can perform the installation of Ubuntu 16.10 and Ubuntu 16.04 in dual-boot with a Microsoft Operating System on machines that come pre-installed with Windows 10.,https://www.tecmint.com/install-ubuntu-16-04-alongside-with-windows-10-or-8-in-dual-boot/,TU,FALSE
TRUE,Git Commands,A list of all commonly used Git commands,https://github.com/joshnh/Git-Commands,BL,FALSE
TRUE,Linux Commands,"Our guide of Linux commands, utilities and tools lists and describes the most essential kernel and shell commands and provides links to valuable Linux administrator resources",http://searchdatacenter.techtarget.com/tutorial/77-Linux-commands-and-utilities-youll-actually-use,BL,FALSE
TRUE,How To Recover Permanently Deleted Files,"How to recover deleted files, like documents and photos, from your Windows device for free.",https://www.youtube.com/watch?v=k8zAcB5jybI,VI,FALSE
TRUE,What is RAM? Ultimate Guide to Computer RAM,"RAM is your computer's short-term memory, and having enough of it is essential for a functional computer. However, there's a lot of misinformation about RAM out there, so this video will help you better understand the role of RAM in your system.",https://www.youtube.com/watch?v=JvkhG-p7KkI,VI,FALSE
TRUE,How do hard drives work?,"The modern hard drive is an object that can likely hold more information than your local library. But how does it store so much information in such a small space? Kanawat Senanan details the generations of engineers, material scientists, and quantum physicists who influenced the creation of this incredibly powerful and precise tool.",https://www.youtube.com/watch?v=wteUW2sL7bc,VI,FALSE
TRUE,How a CPU is made,,https://www.youtube.com/watch?v=qm67wbB5GmI,VI,FALSE
TRUE,10 ways to avoid viruses and spyware,"To have a fighting chance against today's rampant security threats, end users have to be informed and proactive. Here are some practical guidelines they can follow to minimize the risk of infection and attack.",https://www.techrepublic.com/blog/10-things/10-ways-to-avoid-viruses-and-spyware/,BL,FALSE
TRUE,Introduction to the Darknet/Deep Web,,https://www.youtube.com/watch?v=_91AYoH5dTA,VI,FALSE
TRUE,7 Brilliant Things You Can Do With Your Smartphone,7 Ingenious Tricks and Life Hacks for Your Smartphone. They will help you overcome some everyday problems and make your life much easier. And don’t miss a cool bonus tip at the end!,https://www.youtube.com/watch?v=R8Dy-V7NnYw,VI,FALSE
TRUE,WordPress Basics,,https://www.youtube.com/watch?v=ftPB4qEKlvo&list=PLC5E59DD6D84D34DC,VI,FALSE
TRUE,Photoshop Tutorials,,https://www.youtube.com/user/NewWorldOps/videos?pbjreload=10,VI,FALSE
