is_active,Soft_skill,Title,Description,Link_url,Data_type,Paid
True,Body Language,"Body language, the power is in the palm of your hands","Allan Pease is an Honorary Professor of Psychology at ULIM International University, who researches and studies selling relationships and human communication. He teaches simple, field-tested skills and techniques that get results. And he delivers his message in a humorous way, which motivates people to want to use.",https://www.youtube.com/watch?v=ZZZ7k8cMA-4,VI,False
True,Body Language,Body Language Secrets,This is a video interview with Sean Russell from Menprovement.com and Mark Bowden of Truthplane.com on how to manipulate how the world sees you by changing your body language.,https://www.youtube.com/watch?v=aMmr_kLNx9Q,VI,False
True,Body Language,Make Body Language Your Superpower,"Making Body Language Your Superpower - an instructional video on using body language effectively. Presented by Stanford graduate students Matt Levy, Colin Bailie, Jeong Joon Ha, and Jennifer Rosenfeld. Created as an exemplary final project in Lecturer JD Schramm's Strategic Communication course in March 2014.",https://www.youtube.com/watch?v=cFLjudWTuGQ,VI,False
True,Body Language,Body Language Tips,Some interesting tips on Body Language and Tone of Voice for Public Speakers. This video talks about 7 important non verbal communication tips which can help you in delivering effective presentations.,https://www.youtube.com/watch?v=FcZwlze6qNc,VI,False
True,Body Language,Body Language Tutorial,This tutorial is for designed primarily for the young professionals who have started their careers and are interested to understand what proper body language is and how it helps in presenting a clear message to the listeners.,https://www.tutorialspoint.com/body_language/index.htm,BL,False
True,Body Language,Body Language for Entrepreneurs,Use nonverbal communication to increase your income and influence as a business owner. Master body language for success.,https://www.udemy.com/body-language-for-entrepreneurs/,CO,True
True,Body Language,Do YOU Speak Body Language?,Well of course you do! Maybe you're just not aware of what you say by it… And that's something we are about to change! Study this tutorial to know How!,http://www.study-body-language.com/#sthash.gpsgfKbD.rKxho2tU.dpbs,BL,False
True,Body Language,Talking About Body Gestures,"A gesture is form of non-verbal communication in which visible bodily movements communicate a particular message. Gestures include movement of hands, face and other parts of the body. Certain vocabulary is used in English related to body gestures. In this lesson you will learn what these gestures are called.",https://www.youtube.com/watch?v=l2yv7kyZRqo,VI,False
True,Body Language,Decoding Deceptive Body Language,This presentation will show the truths and lies of body language deception. How can we show non-verbal communication through our bodies?,https://www.youtube.com/watch?v=Zg2j3w6yY0A,VI,False
True,Body Language,The Definitive Book of Body Language,,https://e-edu.nbu.bg/pluginfile.php/331752/mod_resource/content/0/Allan_and_Barbara_Pease_-_Body_Language_The_Definitive_Book.pdf,OT,False
True,Body Language,How to Read Body Language to Reveal the Underlying Truth in Almost Any Situation,"You've likely heard that body language accounts for up to 55% of how we communicate, but reading non-verbal cues isn't just about broad strokes. The same gesture can indicate a number of different things depending on context. In this post, we're going to take a look at three common situations in which non-verbal cues are especially important—detecting lies, going on a date, and interviewing for a job",https://lifehacker.com/5852572/how-to-read-and-utilize-body-language-to-reveal-the-truth-in-almost-any-situation,BL,False
True,Body Language,The Art of Posing: Body Language Basics,,https://www.rangefinderonline.com/news-features/tips-techniques/the-art-of-posing-body-language-basics/,BL,False
True,Improving English,How to Improve English Speaking Skills ?,This video is for you if you wish to speak English fluently and confidently. Watch these amazing tips on English speaking skills and learn English in best possible ways. This video offers 43 English speaking tips in hindi to help you to learn English speaking through hindi.,https://www.youtube.com/watch?v=WLDIE2bx9Bk&index=3&list=PLWj1BNzDwv3vdaeYak_rATYnk82KOE0p2,VI,False
True,Improving English,Get Fluent With 1 Trick - Become A Confident English Speaker,Did you know that there’s just 1 simple trick to becoming a fluent English speaker?Just 1 thing you must change about the way you learn to. Click on the link now to get started.,https://www.youtube.com/watch?v=l96V7dQtq9E,VI,False
True,Improving English,How to improve your English speaking skills,"Discover a way to practice speaking English alone to improve your spoken English. This approach can help improve several aspects of your pronunciation, your grammar, your sentence structure, your vocabulary, and your ability to communicate with others in English.",https://www.youtube.com/watch?v=CAU2zx2Ri_M,VI,False
True,Improving English,How to increase your vocabulary,Here are some great tips for remembering your vocabulary and learning new words. This lesson will show you how to learn more than one new word at a time and how to practice learning and remembering words that will improve all areas of your English quickly.,https://www.youtube.com/watch?v=53SIKuCuHv0,VI ,False
True,Improving English,14 Methods for Improving Your Spoken English Without a Speaking Partner,,https://www.fluentu.com/blog/english/how-to-improve-spoken-english/,BL,False
True,Improving English,Tutorial on The Imitation Technique,Are you looking for the tutorial on the Imitation technique?Dive right in,http://engfluent.com/imitation-tutorial/,BL,False
True,Improving English,Speak English With Confidence,"Improve your English Conversation skills, learn new vocabulary and speak about common, conversational topics.",https://www.udemy.com/english-speaking/,CO,True
True,Improving English,English Launch: Learn English for Free - Upgrade all areas,Improve all areas of your English in this taster course. Learn from a native British speaker to become more fluent.,https://www.udemy.com/english-launch-learn-english-for-free-upgrade-all-areas/,CO,False
True,Improving English,Academic and Business Writing,"An introduction to academic and business writing for English Language Learners, focusing on grammar, vocabulary, structure, editing, and publication.",https://www.edx.org/course/academic-business-writing-uc-berkeleyx-colwri2-2x,CO,False
True,Improving English,Learn English in 30 Minutes - ALL the English Basics You Need,"In this video, you'll learn some of the most important words and phrases in the English language. If you want to start learning English, this video is made for you.",https://www.youtube.com/watch?v=juKd26qkNAw,VI,False
True,Improving English,Learn English FREE with TalkEnglish.com,,http://www.talkenglish.com/,BL,False
True,Improving English,How to Stop Translating in Your Head and Start Thinking in English,"In conversations and other situations where you need to be able to process information quickly and respond immediately, translating in your head is a big problem. It slows you down. It makes you hesitate. At times you’ll completely miss out on the conversation because your chance to jump in has come and gone and you’re still trying to translate.so let’s go! Here are nine tips for thinking in English.",https://www.youtube.com/watch?v=FUW_FN8uzy0,VI,False
True,Personal Interview Tips,How to Introduce Yourself? : Interview Tips in Hindi,"This video will help you to prepare and practice your introduction for interview. How to introduce yourself is an important question in a interview, as it helps in creating the first impression and also sets a pace for interview.",https://www.youtube.com/watch?v=RD2M5QJ7GZ8,VI,False
True,Personal Interview Tips,Top 10 Interview Questions and Answers (English),This video contains information about top 10 interview questions and answers with examples and important points to remember. ,https://www.youtube.com/watch?v=iMS16PUKwCs,VI,False
True,Personal Interview Tips,Top 20 Interview Questions and Answers,"This video will help you in preparing top 20 interview questions and answers to clear your job interview with right answers and confidence. These interview questions and answers are explained in hindi to help you understand the mindset of interviewers along with tips, hints and ideas on giving best answers in interview.",https://www.youtube.com/watch?v=rvaBZQAFNtQ,VI,False
True,Personal Interview Tips,How To Prepare for Job Interview,Do you have a job interview on your schedule? There are a number of steps you can take before (and after) the interview to ensure that you make a terrific impression during the interview.,https://www.thebalance.com/how-to-prepare-for-a-job-interview-2061361,VI,False
True,Personal Interview Tips,How to Crack INTERVIEW with BODY LANGUAGE,,https://www.youtube.com/watch?v=IM8hiGSoNBU,VI,False
True,Personal Interview Tips,Job interview tips - 14 tips to prepare for a job interview,How to prepare for a job interview. Tips for interview questions and answers.,https://www.youtube.com/watch?v=CYj1J8oiF9M,VI,False
True,Personal Interview Tips,The Ultimate Interview Guide: 30 Prep Tips,"You have to make a great first impression appearance-wise (no wrinkly suits here!), have a great knowledge of your target company and its product, and, of course, know exactly how to convey that you're the perfect fit for the job.So to help you get prepared,Here are list of all-time best pre-interview tips.",https://www.themuse.com/advice/the-ultimate-interview-guide-30-prep-tips-for-job-interview-success,BL,False
True,Personal Interview Tips,"Get Your Dream Job - Interview Tips, Training & Techniques","Learn interviewing skills, best practices, and preparation guidelines so you can master interviews with tough questions.",https://www.udemy.com/how-to-ace-interviews/,CO,True
True,Personal Interview Tips,Job Interview Skills Training Course,Land that dream job by dazzling during your interview,https://www.udemy.com/find-a-job-interview-skills-training-course/,CO,False
True,Personal Interview Tips,Top 25 interview questions and answers,Top 25 interview questions and answers 2017. Best job interview tips to answer toughest interview questions.,https://www.youtube.com/watch?v=eBuz8Y31rw0,VI,False
True,Group Discussion,How to Crack Group Discussion (English),This Video contains information about Group Dicussion and 10 Simple Rules to crack GD.,https://www.youtube.com/watch?v=9WlsdUMmdQs,VI,False
True,Group Discussion,Learn to Lead a Group Discussion: Interview Skills,Learn how to lead a group discussion which will be conducted in your interview.,https://www.youtube.com/watch?v=_gY9Y8Ygp3s,VI,False
True,Group Discussion,How To Crack GD.10 Simple Ways,,http://www.softwaretestinghelp.com/how-to-crack-the-gd/,BL,False
True,Group Discussion,Group Discussion - Best Preparation Tips,Group Discussion rounds can be pivotal when it comes to get into your dream company or your dream university.Here is our bit to help you with it,https://www.youtube.com/watch?v=wIx--kuFZKM,VI,False
True,Group Discussion,All about Group Discussion Preparation,,https://www.youtube.com/watch?v=75Wbbrb08M4,VI,False
True,Group Discussion,Public Speaking & Presentations Pro: Lead Group Discussions,"Powerful and practical strategies, techniques and tools you need to be an effective presenter, speaker and facilitator.",https://www.udemy.com/facilitate-lead-valuable-group-discussions/,CO,True
True,Group Discussion,Top 10 Basic Group Discussion Tips for Interview,"how to excel in the process of group discussion, how to make yourself recognizable in a group of 10-12 people? So, here are some basic Group discussion tips which can make you perform excellently in group discussion.",http://catchupdates.com/top-10-basic-group-discussion-tips-for-interview-2/,BL,False
True,Group Discussion,04 tips to handle Group Discussions effectively,"The group discussion panel is testing to see whether you are able to present your point of view in a logical manner, if you are interested in listening to others viewpoints about the same subject and whether you are able to conduct yourself with grace in a group situation.Let’s look at 4 B’s which you could use to get through a group discussion in an impressive way",https://www.youtube.com/watch?v=ulNMjmfbSH8,VI,False
True,Improving English,How to improve your English speaking skills,"It is important to know how to improve spoken English because students often find oral tests and exams very difficult. Knowing how to improve your English conversation is very important to have for your job, personal life and travel.These tips will help you improve your conversation skills for tests such as IELTS and TOEFL.",https://www.youtube.com/watch?v=Sc4gh5gP1AE,VI,False
True,Improving English,How to improve your English writing skills?,Easy and Quick tips that will improve writing in formal and academic settings.,https://www.youtube.com/watch?v=p6qVJ1KhHek,VI,False
True,Stress Management,How to make stress your friend,"Stress. It makes your heart pound, your breathing quicken and your forehead sweat. But while stress has been made into a public health enemy, new research suggests that stress may only be bad for you if you believe that to be the case. Psychologist Kelly McGonigal urges us to see stress as a positive, and introduces us to an unsung mechanism for stress reduction: reaching out to others.",https://www.youtube.com/watch?v=RcGyVTAoXEU,VI,False
True,Stress Management,05 simple tips to help you DE-STRESS.,"In this video from Skillopedia, you will learn 5 simple steps to get away that unwanted stress from your life.",https://www.youtube.com/watch?v=kKPh-eZDoTU,VI,False
True,Stress Management,Dealing with Stress - Ten Tips,Follow our 10 simple tips to help manage and reduce your stress levels,https://www.skillsyouneed.com/ps/stress-tips.html,BL,False
True,Stress Management,Stress Management - Permanent Solutions For Stress Reduction,"Stress Management - How stress works, where it comes from, and practical solutions for permanent reduction.",https://www.youtube.com/watch?v=dSfZgygLjiw,VI,False
True,Stress Management,17 Science-Backed Ways to Relieve Stress Right Now!,,https://www.youtube.com/watch?v=fAjdI7J4Gvo,VI,False
True,Stress Management,10 Tips To Manage Stress,,https://www.webmd.com/balance/guide/tips-to-control-stress#1,BL,False
True,Stress Management,Stress Management Techniques,"No matter how stressful your life seems, there are steps you can take to relieve the pressure and regain control.Some of the steps are mentioned in here.",https://www.helpguide.org/articles/stress/stress-management.htm,BL,False
True,Stress Management,The Complete Stress & Anxiety Breakthrough Programme,"A comprehensive stress management programme for lowering stress, managing PTSD and rapidly reducing anxiety",https://www.udemy.com/the-complete-stress-management-masterclass/,CO,True
True,Stress Management,​20 Tips to Cope With Stress,"Evelyn Boon, Senior Principal Psychologist from the Department of Psychiatry at Singapore General Hospital shares 20 tips to help you better deal with stress.",https://www.healthxchange.sg/wellness/mental-health/tips-cope-stress,BL,False
True,Stress Management,Stress Management Strategies - Coping Skills and Techniques,"In our modern western society, most of our stress is a result of some kind of emotional build up rather than being a helpful physical response to danger as it was for our ancestors.That's why it is so important to develop some coping skills for stress management.",https://www.youtube.com/watch?v=9dD3WFiURuA,VI,False
True,Stress Management,How To Deal With Stress At Work,This video will show you how to deal with stress at work by helping you to discover and address what's causing your stress.,https://www.youtube.com/watch?v=GYx0DZKth-8,VI,False
True,Stress Management,The Workplace Stress Solution,,https://www.youtube.com/watch?v=6OzKD1YWHRI,VI,False
